[2025-06-12T06:26:29.351Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:30:46.110Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:30:46.209Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:46:32.600Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:46:59.708Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:48:50.222Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:48:50.226Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:52:37.173Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:52:37.174Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:53:12.845Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:53:12.845Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:53:32.072Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:53:32.078Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:53:51.663Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:53:51.664Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T06:54:05.855Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
